Comment,Description,Designator,Footprint,LibRef,Quantity,JLCPCB Part #
,,,,,,
Header 2,"Header, 2-Pin","3V3, 5V, 12V, GND, PWR_Lock",HDR1X2,Header 2,5,
ADA3708,Raspberry Pi Zero WH (Zero W with Headers),A1,ADA3708_RPI-ZERO,ADA3708,1,
Antenna AN043,Small Size 2.4 GHz PCB antenna,AE,AN043,Antenna AN043,1,
CA45-C-10V-100µF-K,100uF 10V -55?~+125? 300mO@100kHz ±10% CASE-C_6032 Tantalum Capacitors,C1,CASE-C_6032,Cap_100uF,1,C171664
CC0402KRX7R7BB104,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC,"C2, C5, C6",CAP0402,CAP-SM-0402-X7R-100NF,3,C60474
CL05A106MQ5NUNC,6.3V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC,"C3, C4, C9, C10",CAP0402,CAP-SM-0402-X5R-10UF,4,C15525
TAJA106K016RNJ,TANTALUM CAPACITORS 10UF 16V CASE-A_3216,"C7, C8, C11, C12",CAP-SMD_L3.2-W1.6-R-RD,TAJA106K016RNJ,4,C7171
CL05A105KA5NQNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402,CR,CAP0402,CAP-SM-0402-X5R-1UF,1,C52923
LESD5D5.0CT1G,18.6V 9.4A (8/20us) 5V Bidirectional 5.6V SOD-523 ESD Protection Devices,"D1, D2",SOD-523_L1.2-W0.8-LS1.6-BI,LESD5D5.0CT1G,2,C383211
LMBR120FT1G,20V 500mV@1A 1A SOD-123 Schottky Barrier Diodes (SBD),D3,SOD-123_L2.8-W1.8-LS3.7-RD,LMBR120FT1G,1,C81143
Header 5,"Header, 5-Pin",GPIOs,HDR1X5,Header 5,1,
B4B-XH-A(LF)(SN),Connector Header Through Hole 4 position 0.098 _2.50mm_,"J1, QRScanner, Screen",JST_B4B-XH-A(LF)(SN),B4B-XH-A(LF)(SN),3,
DC-050-T25,3A 12V SMD AC/DC Power Connectors,Jack,6.94108E+11,DC Jack SMD,1,C113716
Header 7,"Header, 7-Pin",Keypad,HDR1X7,Header 7,1,
19-217/GHC-YR1S2/3T,LIGHT EMITTING DIODES (LED) GREEN 520~535NM 112~258MCD@20MA TOP VIEW 0603,LEDA,LED0603P,LED-0603-RED,1,C72043
Header 20X2,"Header, 20-Pin, Dual row",Pi_Ext,HDR2X20,Header 20X2,1,
MMBT2222ATT1G,NPN 600mA 40V 150mW SC-75(SOT-523) Transistors (NPN/PNP),"Q1, Q2",SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR,MMBT2222ATT1G,2,C94417
DMG3415U-7,SOT-23-3 MOSFETs,Q3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,DMG3415U-7,1,C709946
RC0402FR-073K3L,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% -55?~+155? 3.3kO 0402 Chip Resistor - Surface Mount,"R1, R2",RES0402,RES-SM-0402-10K,2,C137992
0402WGF1001TCE,±1% 1/16W Thick Film Resistors 50V ±100ppm/? -55?~+155? 1kO 0402 Chip Resistor,"R3, R4, R7",RES0402,RES-SM-0402-1K,3,C11702
0402WGF2212TCE,±1% 1/16W Thick Film Resistors 50V ±100ppm/? -55?~+155? 22.1kO 0402 Chip Resistor - Surface Mount,R5,RES0402,RES-SM-0402-1K,1,C43473
0402WGF4752TCE,±1% 1/16W Thick Film Resistors 50V ±100ppm/? -55?~+155? 47.5kO 0402 Chip Resistor - Surface Mount,R6,RES0402,RES-SM-0402-1K,1,C25896
RC0402JR-075K1L,5.1kO 0402 1/16W 50V ±5% ±100ppm/?  Chip Resistor - Surface Mount,"R8, R9",RES0402,RES-SM-0402-10K,2,C105873
0402WGF1002TCE,CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402,"R10, R11, RR",RES0402,RES-SM-0402-10K,3,C25744
RC0402FR-070RL,1/16W ±1% 0O 0402 Chip Resistor,"R12, R13",RES0402,RES-SM-0402-0R,2,C106231
0402WGF3300TCE,CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/16W 0402,RA,RES0402,RES-SM-0402-220R,1,C25104
B3B-XH-A(LF)(SN),Connector Header Through Hole 3 position 0.098 (2.50mm),Relay,JST_B3B-XH-A(LF)(SN),B3B-XH-A(LF)(SN),1,
RC0402FR-07100KL,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% -55?~+155? 100kO 0402 Chip Resistor - Surface Mount,"RV1, RV2",RES0402,RES-SM-0402-1K,2,C60491
TS-1092S-B3D2-G,NO 3.6mm 2.5mm Gull Wing Gray Rectangle button Brick nogging SPST 6.1mm 250gf@±30gf SMD Tactile Switches,SW,SW-SMD_L6.1-W3.6-LS7.9,TS-1092S-B3D2-G,1,C520860
ESP32-PICO-D4,QFN-48_7x7x05P RF Transceiver ICs,U1,QFN-48_L7.0-W7.0-P0.50-BL-EP5.4,ESP32-PICO-D4,1,C193707
CP2102N-A02-GQFN24R,QFN-24_4x4x05P USB ICs,U2,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,CP2102N-A02-GQFN24R,1,C969151
AMS1117-5.0,68dB@(120Hz) 1A 1.3V@(1A) Fixed 5V~5V Positive 1 15V SOT-223 Linear Voltage Regulators (LDO),"U3, U5",SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,AMS1117-5.0,2,C6187
TPAP2112K-3.3TRG1,SOT-23-5 Linear Voltage Regulators (LDO),U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,TPAP2112K-3.3TRG1,1,C3021085
TYPE-C-31-M-12,5A 1 16 Female Type-C SMD USB Connectors,USBC,USB-C_SMD-TYPE-C-31-M-12,TYPE-C-31-M-12,1,C165948
