Altium Designer Pick and Place Locations
D:\Business\Upwork\Box Embedded\PCB\MainBoard_Box\Project Outputs for MainBoard_Box\Pick Place for MainBoard_Box.csv

========================================================================================================================
File Design Information:

Date:       03/04/23
Time:       01:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Pi_Ext","Header 20X2","TopLayer","HDR2X20","3140.001","1530.000","90","Header, 20-Pin, Dual row"
"USBC","TYPE-C-31-M-12","TopLayer","USB-C_SMD-TYPE-C-31-M-12","227.049","702.874","270","5A 1 16 Female Type-C SMD USB Connectors"
"U5","AMS1117-5.0","TopLayer","SOT-223_L6.5-W3.5-P2.30-LS7.0-BR","2322.323","482.106","90","68dB@(120Hz) 1A 1.3V@(1A) Fixed 5V~5V Positive 1 15V SOT-223 Linear Voltage Regulators (LDO)"
"U4","TPAP2112K-3.3TRG1","TopLayer","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","1829.409","1421.379","270","SOT-23-5 Linear Voltage Regulators (LDO)"
"U3","AMS1117-5.0","TopLayer","SOT-223_L6.5-W3.5-P2.30-LS7.0-BR","1889.842","944.409","180","68dB@(120Hz) 1A 1.3V@(1A) Fixed 5V~5V Positive 1 15V SOT-223 Linear Voltage Regulators (LDO)"
"U2","CP2102N-A02-GQFN24R","TopLayer","QFN-24_L4.0-W4.0-P0.50-TL-EP2.6","1703.437","2269.094","90","QFN-24_4x4x05P USB ICs"
"U1","ESP32-PICO-D4","TopLayer","QFN-48_L7.0-W7.0-P0.50-BL-EP5.4","343.207","1630.058","225","QFN-48_7x7x05P RF Transceiver ICs"
"SW","TS-1092S-B3D2-G","TopLayer","SW-SMD_L6.1-W3.6-LS7.9","545.078","228.426","90","NO 3.6mm 2.5mm Gull Wing Gray Rectangle button Brick nogging SPST 6.1mm 250gf@±30gf SMD Tactile Switches"
"RV2","RC0402FR-07100KL","TopLayer","RES0402","1837.678","1305.236","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% -55?~+155? 100kO 0402 Chip Resistor - Surface Mount"
"RV1","RC0402FR-07100KL","TopLayer","RES0402","1961.496","1328.071","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% -55?~+155? 100kO 0402 Chip Resistor - Surface Mount"
"RR","0402WGF1002TCE","TopLayer","RES0402","600.866","946.772","180","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402"
"RA","0402WGF3300TCE","TopLayer","RES0402","60.513","1095.788","90","CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/16W 0402"
"R13","RC0402FR-070RL","TopLayer","RES0402","1687.794","2066.536","270","1/16W ±1% 0O 0402 Chip Resistor"
